epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1082.11,0.85965,0.5743,1.08937,0.86325,0.90973,0.85991,0.64507,0.95973,0.58072,1.16289,0.0011882,0.0011882,0.0011882
43,1107.66,0.86412,0.56855,1.10142,0.87552,0.89469,0.86709,0.66037,0.9215,0.60293,1.16559,0.0011684,0.0011684,0.0011684
44,1133.34,0.85051,0.56832,1.09069,0.87566,0.89853,0.85742,0.63599,0.97933,0.61173,1.19529,0.0011486,0.0011486,0.0011486
45,1158.89,0.84188,0.56245,1.08287,0.87851,0.90386,0.86201,0.65942,0.92489,0.59826,1.16753,0.0011288,0.0011288,0.0011288
46,1184.29,0.82395,0.55512,1.07756,0.88415,0.90441,0.87297,0.66306,0.9151,0.58077,1.1485,0.001109,0.001109,0.001109
47,1209.94,0.82646,0.55146,1.07927,0.87075,0.90651,0.86383,0.64905,0.93797,0.58628,1.15753,0.0010892,0.0010892,0.0010892
48,1235.5,0.79959,0.55662,1.08128,0.87495,0.9,0.86937,0.66224,0.91465,0.57905,1.14617,0.0010694,0.0010694,0.0010694
49,1260.94,0.81155,0.53868,1.06695,0.86454,0.88824,0.85314,0.65297,0.91018,0.63954,1.14262,0.0010496,0.0010496,0.0010496
50,1286.48,0.79835,0.54854,1.06795,0.86814,0.90147,0.86246,0.65948,0.91572,0.5967,1.144,0.0010298,0.0010298,0.0010298
51,1312.04,0.80687,0.53251,1.06055,0.86977,0.89871,0.858,0.65841,0.92707,0.60913,1.15849,0.00101,0.00101,0.00101
52,1337.58,0.79834,0.52441,1.07179,0.86882,0.90588,0.87155,0.66339,0.92329,0.60098,1.16278,0.0009902,0.0009902,0.0009902
53,1363.2,0.80671,0.52035,1.06788,0.87983,0.89559,0.85409,0.65455,0.91095,0.57635,1.13792,0.0009704,0.0009704,0.0009704
54,1388.53,0.81523,0.51934,1.06491,0.86588,0.91029,0.86772,0.66616,0.90036,0.57571,1.13798,0.0009506,0.0009506,0.0009506
55,1414.3,0.77809,0.51832,1.06289,0.86776,0.91195,0.8607,0.65966,0.89649,0.56632,1.13542,0.0009308,0.0009308,0.0009308
56,1439.88,0.78038,0.51042,1.05749,0.87128,0.90294,0.8632,0.65692,0.91804,0.60324,1.15094,0.000911,0.000911,0.000911
57,1465.5,0.76298,0.49908,1.04914,0.87014,0.90882,0.85822,0.66028,0.92118,0.58128,1.16371,0.0008912,0.0008912,0.0008912
58,1490.81,0.75436,0.48842,1.03104,0.87207,0.90723,0.86536,0.67288,0.88919,0.56966,1.13393,0.0008714,0.0008714,0.0008714
59,1516.01,0.77057,0.51185,1.05106,0.86367,0.90835,0.86608,0.6684,0.88317,0.59632,1.12456,0.0008516,0.0008516,0.0008516
60,1541.36,0.7782,0.50169,1.05532,0.85616,0.91471,0.86264,0.66277,0.90347,0.61386,1.14356,0.0008318,0.0008318,0.0008318
61,1566.94,0.75409,0.50614,1.05066,0.87904,0.91377,0.86474,0.66458,0.89509,0.58924,1.13685,0.000812,0.000812,0.000812
62,1592.42,0.76586,0.4938,1.04648,0.86134,0.9125,0.86673,0.66561,0.88938,0.57258,1.12649,0.0007922,0.0007922,0.0007922
63,1617.78,0.74649,0.49364,1.04899,0.86245,0.91742,0.86451,0.6621,0.88544,0.58442,1.12527,0.0007724,0.0007724,0.0007724
64,1643.39,0.73841,0.48438,1.04048,0.85735,0.91985,0.85741,0.66554,0.87296,0.56797,1.12781,0.0007526,0.0007526,0.0007526
65,1668.92,0.75088,0.48303,1.04372,0.87297,0.91397,0.86565,0.67625,0.87883,0.55987,1.12141,0.0007328,0.0007328,0.0007328
66,1694.64,0.75441,0.48577,1.03704,0.86735,0.90864,0.86202,0.66756,0.88467,0.57328,1.12135,0.000713,0.000713,0.000713
67,1720.1,0.75736,0.46611,1.03373,0.87771,0.90294,0.86176,0.66852,0.87503,0.56673,1.12583,0.0006932,0.0006932,0.0006932
68,1745.39,0.7248,0.48793,1.04164,0.87439,0.90515,0.85448,0.66606,0.86772,0.58142,1.12718,0.0006734,0.0006734,0.0006734
69,1770.77,0.72422,0.46675,1.03143,0.8699,0.91446,0.86065,0.66894,0.86848,0.56332,1.12544,0.0006536,0.0006536,0.0006536
70,1796.53,0.72799,0.46267,1.0235,0.86743,0.91413,0.86115,0.67056,0.87088,0.58546,1.11981,0.0006338,0.0006338,0.0006338
71,1822.23,0.72089,0.47353,1.02001,0.86827,0.91912,0.86469,0.66943,0.88056,0.55856,1.13083,0.000614,0.000614,0.000614
72,1847.79,0.72476,0.46739,1.02991,0.8651,0.90882,0.86075,0.67143,0.87625,0.56793,1.11531,0.0005942,0.0005942,0.0005942
73,1873.16,0.71733,0.4589,1.02075,0.86633,0.91502,0.8646,0.67572,0.86059,0.57037,1.11906,0.0005744,0.0005744,0.0005744
74,1898.55,0.70328,0.46051,1.02242,0.87017,0.91176,0.86309,0.66912,0.87506,0.57967,1.12771,0.0005546,0.0005546,0.0005546
75,1924.1,0.70263,0.4486,1.01349,0.87388,0.90956,0.85994,0.66801,0.87919,0.57949,1.12948,0.0005348,0.0005348,0.0005348
76,1949.86,0.70819,0.43439,1.01761,0.8785,0.90294,0.85751,0.6685,0.86719,0.56874,1.12146,0.000515,0.000515,0.000515
77,1975.45,0.72253,0.44358,1.00991,0.87203,0.91324,0.86223,0.67511,0.86001,0.54973,1.11583,0.0004952,0.0004952,0.0004952
78,2000.89,0.70199,0.45346,1.00743,0.87122,0.91324,0.86125,0.67185,0.86043,0.56382,1.11661,0.0004754,0.0004754,0.0004754
79,2026.25,0.69939,0.44677,1.01617,0.87539,0.90916,0.85688,0.67137,0.86348,0.54947,1.11447,0.0004556,0.0004556,0.0004556
80,2051.69,0.69271,0.46057,1.01404,0.86892,0.91397,0.86381,0.66947,0.86974,0.55757,1.12894,0.0004358,0.0004358,0.0004358
81,2077.18,0.69447,0.43636,1.01816,0.87203,0.9119,0.86205,0.66857,0.86795,0.56837,1.11348,0.000416,0.000416,0.000416
82,2102.4,0.68078,0.43198,1.01397,0.86912,0.90882,0.86162,0.67247,0.86112,0.57042,1.11443,0.0003962,0.0003962,0.0003962
83,2127.91,0.70314,0.44256,1.01649,0.87273,0.91264,0.86173,0.6761,0.85805,0.56325,1.12095,0.0003764,0.0003764,0.0003764
84,2153.35,0.67077,0.42789,1.00647,0.87398,0.91284,0.85792,0.67343,0.84354,0.55198,1.09942,0.0003566,0.0003566,0.0003566
85,2179.03,0.67912,0.42413,1.00661,0.87102,0.91397,0.85899,0.67373,0.85032,0.57373,1.10904,0.0003368,0.0003368,0.0003368
